INOVACAO;0.17;28;TECNOLOGIA;B;EXPLORADOR
MODA;0.3;21;ARQUITETURA;B;SEGUIDORES
INOVACAO;0.17;17;TECNOLOGIA;B;EXPLORADOR
SUSTENTABILIDADE;0.41;35;PROFESSOR;B;TRANSFORMADORES
INOVACAO;0.17;34;TECNOLOGIA;B;EXPLORADOR
EXCLUSIVIDADE;0.12;44;EMPRESARIO;A;VENCEDORES
MODA;0.3;30;FOTOGRAFO;B;SEGUIDORES
MODA;0.3;33;ARQUITETURA;B;SEGUIDORES
INOVACAO;0.17;29;TECNOLOGIA;B;EXPLORADOR
SUSTENTABILIDADE;0.41;38;UNIVERSITARIO;B;TRANSFORMADORES
INOVACAO;0.17;31;ENGENHARIA;B;EXPLORADOR
MODA;0.3;27;PUBLICIDADE;B;SEGUIDORES
SUSTENTABILIDADE;0.41;29;UNIVERSITARIO;B;TRANSFORMADORES
EXCLUSIVIDADE;0.12;35;CONSULTORIA;A;VENCEDORES
INOVACAO;0.17;30;ENGENHARIA;B;EXPLORADOR
INOVACAO;0.17;34;TECNOLOGIA;B;EXPLORADOR
MODA;0.3;25;PUBLICIDADE;B;SEGUIDORES
INOVACAO;0.17;27;ENGENHARIA;B;EXPLORADOR
MODA;0.3;31;ARQUITETURA;B;SEGUIDORES
SUSTENTABILIDADE;0.41;31;PROFESSOR;B;TRANSFORMADORES
EXCLUSIVIDADE;0.12;47;EMPRESARIO;A;VENCEDORES
MODA;0.3;34;ARQUITETURA;B;SEGUIDORES
EXCLUSIVIDADE;0.12;56;CONSULTORIA;A;VENCEDORES
SUSTENTABILIDADE;0.41;26;UNIVERSITARIO;B;TRANSFORMADORES
SUSTENTABILIDADE;0.41;39;ASSISTENTE;B;TRANSFORMADORES
INOVACAO;0.17;26;TECNOLOGIA;B;EXPLORADOR
MODA;0.3;26;FOTOGRAFO;B;SEGUIDORES
SUSTENTABILIDADE;0.41;37;PROFESSOR;B;TRANSFORMADORES
INOVACAO;0.17;30;TECNOLOGIA;B;EXPLORADOR
INOVACAO;0.17;18;TECNOLOGIA;B;EXPLORADOR
INOVACAO;0.17;31;ENGENHARIA;B;EXPLORADOR
